Valår,Kod,Kommun,Styre,M,C,L,KD,S,V,MP,SD,ÖP
1994,114,Upplands väsby,V,,,,,S,V,,,
1995,114,Upplands väsby,V,,,,,S,V,,,
1996,114,Upplands väsby,V,,,,,S,V,,,
1997,114,Upplands väsby,V,,,,,S,V,,,
1994,115,Vallentuna,B,M,C,,KD,,,,,
1995,115,Vallentuna,B,M,C,,KD,,,,,
1996,115,Vallentuna,B,M,C,,KD,,,,,
1997,115,Vallentuna,B,M,C,,KD,,,,,
1994,117,Österåker,BL,,,L,,S,,,,
1995,117,Österåker,BL,,,L,,S,,,,
1996,117,Österåker,BL,,,L,,S,,,,
1997,117,Österåker,BL,,,L,,S,,,,
1994,120,Värmdö,B,M,C,L,,,,MP,,
1995,120,Värmdö,B,M,C,L,,,,MP,,
1996,120,Värmdö,B,M,C,L,,,,MP,,
1997,120,Värmdö,B,M,C,L,,,,MP,,
1994,123,Järfälla,V,,,,,S,V,MP,,
1995,123,Järfälla,V,,,,,S,V,MP,,
1996,123,Järfälla,V,,,,,S,V,MP,,
1997,123,Järfälla,V,,,,,S,V,MP,,
1994,125,Ekerö,B,M,C,L,KD,,,,,
1995,125,Ekerö,B,M,C,L,KD,,,,,
1996,125,Ekerö,B,M,C,L,KD,,,,,
1997,125,Ekerö,B,M,C,L,KD,,,,,
1994,126,Huddinge,V,,,,,S,V,MP,,
1995,126,Huddinge,V,,,,,S,V,MP,,
1996,126,Huddinge,V,,,,,S,V,MP,,
1997,126,Huddinge,V,,,,,S,V,MP,,
1994,127,Botkyrka,V,,,,,S,V,MP,,
1995,127,Botkyrka,V,,,,,S,V,MP,,
1996,127,Botkyrka,V,,,,,S,V,MP,,
1997,127,Botkyrka,V,,,,,S,V,MP,,
1994,128,Salem,B,M,C,L,KD,,,,,
1995,128,Salem,B,M,C,L,KD,,,,,
1996,128,Salem,B,M,C,L,KD,,,,,
1997,128,Salem,B,M,C,L,KD,,,,,
1994,136,Haninge,BL,,,L,,S,,,,
1995,136,Haninge,BL,,,L,,S,,,,
1996,136,Haninge,BL,,,L,,S,,,,
1997,136,Haninge,BL,,,L,,S,,,,
1994,138,Tyresö,V,,,,,S,V,MP,,
1995,138,Tyresö,V,,,,,S,V,MP,,
1996,138,Tyresö,V,,,,,S,V,MP,,
1997,138,Tyresö,V,,,,,S,V,MP,,
1994,139,Upplands-Bro,V,,,,,S,V,,,
1995,139,Upplands-Bro,V,,,,,S,V,,,
1996,139,Upplands-Bro,V,,,,,S,V,,,
1997,139,Upplands-Bro,V,,,,,S,V,,,
1994,140,Nykvarn,Ännu inte bildad,,,,,,,,,
1995,140,Nykvarn,Ännu inte bildad,,,,,,,,,
1996,140,Nykvarn,Ännu inte bildad,,,,,,,,,
1997,140,Nykvarn,Ännu inte bildad,,,,,,,,,
1994,160,Täby,B,M,C,,KD,,,,,ÖP
1995,160,Täby,B,M,C,,KD,,,,,ÖP
1996,160,Täby,B,M,C,,KD,,,,,ÖP
1997,160,Täby,B,M,C,,KD,,,,,ÖP
1994,162,Danderyd,B,M,,,KD,,,,,
1995,162,Danderyd,B,M,,,KD,,,,,
1996,162,Danderyd,B,M,,,KD,,,,,
1997,162,Danderyd,B,M,,,KD,,,,,
1994,163,Sollentuna,B,M,C,L,KD,,,,,
1995,163,Sollentuna,B,M,C,L,KD,,,,,
1996,163,Sollentuna,B,M,C,L,KD,,,,,
1997,163,Sollentuna,B,M,C,L,KD,,,,,
1994,180,Stockholm,V,,,,,S,V,MP,,
1995,180,Stockholm,V,,,,,S,V,MP,,
1996,180,Stockholm,V,,,,,S,V,MP,,
1997,180,Stockholm,V,,,,,S,V,MP,,
1994,181,Södertälje,V,,,,,S,V,,,
1995,181,Södertälje,V,,,,,S,V,,,
1996,181,Södertälje,V,,,,,S,V,,,
1997,181,Södertälje,V,,,,,S,V,,,
1994,182,Nacka,B,M,,L,,,,,,
1995,182,Nacka,B,M,,L,,,,,,
1996,182,Nacka,B,M,,L,,,,,,
1997,182,Nacka,B,M,,L,,,,,,
1994,183,Sundbyberg,V,,,,,S,V,,,
1995,183,Sundbyberg,V,,,,,S,V,,,
1996,183,Sundbyberg,V,,,,,S,V,,,
