År,Län,Styre,M,C,L,KD,S,V,MP,SD,ÖP
1994,Gotlands län,V,,,,,S,V,MP,,
1994,Hallands län,B,M,C,L,KD,,,MP,,
1994,Jämtlands län,V,,,,,S,,,,
1994,Blekinge län,V,,,,,S,,,,
1994,Dalarnas län,BL,,C,,,S,,,,
1994,Gävleborgs län,V,,,,,S,,,,
1994,Jönköpings län,BL,,C,L,,S,,,,
1994,Kalmar län,V,,,,,S,V,MP,,
1994,Uppsala län,V,,,,,S,V,,,
1994,Värmlands län,V,,,,,S,,,,
1994,Östergötlands län,V,,,,,S,V,,,
1994,Kronobergs län,BL,,C,,,S,,,,
1994,Södermanlands län,V,,,,,S,,,,
1994,Västernorrlands län,V,,,,,S,,,,
1994,Västmanlands län,BL,,C,,,S,,,,
1994,Skåne län,V,,,,,S,V,,,
1994,Norrbottens län,V,,,,,S,,,,
1994,Stockholms län,V,,,,,S,V,MP,,
1994,Västerbottens län,V,,,,,S,,,,
1994,Västra Götalands län,V,,,,,,,,,
1994,Örebro län,V,,,,,S,,,,
1998,Hallands län,B,M,C,L,KD,,,MP,,
1998,Jämtlands län,V,,,,,S,V,MP,,
1998,Blekinge län,V,,,,,S,V,MP,,
1998,Dalarnas län,V,,,,,S,V,,,
1998,Gävleborgs län,V,,,,,S,V,,,
1998,Jönköpings län,BL,,C,,,S,V,,,
1998,Kalmar län,V,,,,,S,V,MP,,
1998,Uppsala län,V,,,,,S,V,MP,,
1998,Värmlands län,V,,,,,S,V,,,
1998,Östergötlands län,V,,,,,S,V,MP,,
1998,Kronobergs län,BL,,C,,,S,,,,
1998,Södermanlands län,V,,,,,S,V,,,
1998,Västernorrlands län,V,,,,,S,V,,,
1998,Västmanlands län,V,,,,,S,V,,,
1998,Norrbottens län,V,,,,,S,V,,,
1998,Skåne län,B,M,C,L,KD,,,,,
1998,Stockholms län,B,M,,L,KD,,,,,
1998,Västerbottens län,V,,,,,S,V,MP,,
1998,Västra Götalands län,V,,C,L,,S,,,,
1998,Örebro län,V,,,,,S,,,,
2002,Hallands län,B,M,C,L,KD,,,MP,,
2002,Jämtlands län,BL,,C,,,S,,,,
2002,Blekinge län,V,,,,,S,V,MP,,
2002,Dalarnas län,V,,,,,S,V,,,
2002,Gävleborgs län,V,,,,,S,V,MP,,
2002,Jönköpings län,BL,M,C,L,KD,S,V,MP,,
2002,Kalmar län,V,,,,,S,V,MP,,
2002,Uppsala län,V,,,,,S,V,MP,,
2002,Värmlands län,A,M,C,L,KD,,,,,ÖP
2002,Östergötlands län,V,,,,,S,V,MP,,
2002,Kronobergs län,BL,,C,,,S,,,,
2002,Södermanlands län,BL,M,C,L,KD,,V,MP,,
2002,Västernorrlands län,V,,,,,S,V,,,
2002,Västmanlands län,V,,,,,S,V,,,
2002,Norrbottens län,V,,,,,S,V,MP,,
2002,Skåne län,V,,,,,S,V,MP,,
2002,Stockholms län,V,,,,,S,V,MP,,
2002,Västerbottens län,V,,,,,S,V,MP,,
2002,Västra Götalands län,BL,,C,L,,S,,,,
2002,Örebro län,V,,,,,S,,,,
2006,Hallands län,A,M,C,L,KD,,,MP,,
2006,Jämtlands län,V,,,,,S,V,MP,,
2006,Blekinge län,V,,,,,S,V,MP,,
2006,Dalarnas län,V,,,,,S,V,MP,,
2006,Gävleborgs län,BL,,C,,,S,,MP,,
2006,Jönköpings län,A,M,C,L,KD,,,MP,,
2006,Kalmar län,V,,,,,S,V,MP,,
2006,Uppsala län,A,M,C,L,KD,,,,,
2006,Värmlands län,V,,,,,S,V,,,
2006,Östergötlands län,A,M,C,L,KD,,,,,ÖP
2006,Kronobergs län,A,M,C,L,KD,,,,,
2006,Södermanlands län,BL,,,L,,S,,MP,,
2006,Västernorrlands län,V,,,,,S,V,,,
2006,Västmanlands län,A,M,C,L,KD,,,MP,,ÖP
2006,Norrbottens län,V,,,,,S,V,MP,,
2006,Skåne län,A,M,C,L,KD,,,MP,,
2006,Stockholms län,A,M,C,L,KD,,,,,
2006,Västerbottens län,V,,,,,S,V,MP,,
2006,Västra Götalands län,BL,,C,L,,S,,,,
2006,Örebro län,V,,,,,S,,,,
2010,Jämtlands län,V,,,,,S,V,MP,,
2010,Blekinge län,V,,,,,S,V,MP,,
2010,Dalarnas län,V,,,,,S,V,MP,,
2010,Gävleborgs län,BL,,C,,,S,,MP,,
2010,Jönköpings län,A,M,C,L,KD,,,MP,,
2010,Kalmar län,V,,,,,S,V,MP,,
2010,Uppsala län,A,M,C,L,KD,,,,,
2010,Värmlands län,A,M,C,L,KD,,,MP,,ÖP
2010,Östergötlands län,A,M,C,L,KD,,,,,ÖP
