År,Län,Styre,M,C,L,KD,S,V,MP,SD,ÖP
1994,Alla,V,,,,,S,,,,
1995,Alla,V,,,,,S,,,,
1996,Alla,V,,,,,S,,,,
1997,Alla,V,,,,,S,,,,
1998,Alla,V,,,,,S,,,,
1999,Alla,V,,,,,S,,,,
2000,Alla,V,,,,,S,,,,
2001,Alla,V,,,,,S,,,,
2002,Alla,V,,,,,S,,,,
2003,Alla,V,,,,,S,,,,
2004,Alla,V,,,,,S,,,,
2005,Alla,V,,,,,S,,,,
2006,Alla,A,M,C,L,KD,,,,,
2007,Alla,A,M,C,L,KD,,,,,
2008,Alla,A,M,C,L,KD,,,,,
2009,Alla,A,M,C,L,KD,,,,,
2010,Alla,A,M,C,L,KD,,,,,
2011,Alla,A,M,C,L,KD,,,,,
2012,Alla,A,M,C,L,KD,,,,,
2013,Alla,A,M,C,L,KD,,,,,
2014,Alla,V,,,,,S,,MP,,
2015,Alla,V,,,,,S,,MP,,
2016,Alla,V,,,,,S,,MP,,
2017,Alla,V,,,,,S,,MP,,
2018,Alla,V,,,,,S,,MP,,
2019,Alla,V,,,,,S,,MP,,
2020,Alla,V,,,,,S,,MP,,
2021,Alla,V,,,,,S,,MP,,
2022,Alla,B,M,,L,KD,,,,,
2023,Alla,B,M,,L,KD,,,,,
2024,Alla,B,M,,L,KD,,,,,
2025,Alla,B,M,,L,KD,,,,,
1994,Gotlands län,V,,,,,S,V,MP,,
1995,Gotlands län,V,,,,,S,V,MP,,
1996,Gotlands län,V,,,,,S,V,MP,,
1997,Gotlands län,V,,,,,S,V,MP,,
1994,Hallands län,B,M,C,L,KD,,,MP,,
1995,Hallands län,B,M,C,L,KD,,,MP,,
1996,Hallands län,B,M,C,L,KD,,,MP,,
1997,Hallands län,B,M,C,L,KD,,,MP,,
1994,Jämtlands län,V,,,,,S,,,,
1995,Jämtlands län,V,,,,,S,,,,
1996,Jämtlands län,V,,,,,S,,,,
1997,Jämtlands län,V,,,,,S,,,,
1994,Blekinge län,V,,,,,S,,,,
1995,Blekinge län,V,,,,,S,,,,
1996,Blekinge län,V,,,,,S,,,,
1997,Blekinge län,V,,,,,S,,,,
1994,Dalarnas län,BL,,C,,,S,,,,
1995,Dalarnas län,BL,,C,,,S,,,,
1996,Dalarnas län,BL,,C,,,S,,,,
1997,Dalarnas län,BL,,C,,,S,,,,
1994,Gävleborgs län,V,,,,,S,,,,
1995,Gävleborgs län,V,,,,,S,,,,
1996,Gävleborgs län,V,,,,,S,,,,
1997,Gävleborgs län,V,,,,,S,,,,
1994,Jönköpings län,BL,,C,L,,S,,,,
1995,Jönköpings län,BL,,C,L,,S,,,,
1996,Jönköpings län,BL,,C,L,,S,,,,
1997,Jönköpings län,BL,,C,L,,S,,,,
1994,Kalmar län,V,,,,,S,V,MP,,
1995,Kalmar län,V,,,,,S,V,MP,,
1996,Kalmar län,V,,,,,S,V,MP,,
1997,Kalmar län,V,,,,,S,V,MP,,
1994,Uppsala län,V,,,,,S,V,,,
1995,Uppsala län,V,,,,,S,V,,,
1996,Uppsala län,V,,,,,S,V,,,
1997,Uppsala län,V,,,,,S,V,,,
1994,Värmlands län,V,,,,,S,,,,
1995,Värmlands län,V,,,,,S,,,,
1996,Värmlands län,V,,,,,S,,,,
1997,Värmlands län,V,,,,,S,,,,
1994,Östergötlands län,V,,,,,S,V,,,
1995,Östergötlands län,V,,,,,S,V,,,
1996,Östergötlands län,V,,,,,S,V,,,
1997,Östergötlands län,V,,,,,S,V,,,
1994,Kronobergs län,BL,,C,,,S,,,,
1995,Kronobergs län,BL,,C,,,S,,,,
1996,Kronobergs län,BL,,C,,,S,,,,
1997,Kronobergs län,BL,,C,,,S,,,,
1994,Södermanlands län,V,,,,,S,,,,
1995,Södermanlands län,V,,,,,S,,,,
1996,Södermanlands län,V,,,,,S,,,,
1997,Södermanlands län,V,,,,,S,,,,
1994,Västernorrlands län,V,,,,,S,,,,
1995,Västernorrlands län,V,,,,,S,,,,
1996,Västernorrlands län,V,,,,,S,,,,
1997,Västernorrlands län,V,,,,,S,,,,
1994,Västmanlands län,BL,,C,,,S,,,,
1995,Västmanlands län,BL,,C,,,S,,,,
1996,Västmanlands län,BL,,C,,,S,,,,
1997,Västmanlands län,BL,,C,,,S,,,,
1994,Skåne län,V,,,,,S,V,,,
1995,Skåne län,V,,,,,S,V,,,
1996,Skåne län,V,,,,,S,V,,,
1997,Skåne län,V,,,,,S,V,,,
1994,Norrbottens län,V,,,,,S,,,,
1995,Norrbottens län,V,,,,,S,,,,
1996,Norrbottens län,V,,,,,S,,,,
1997,Norrbottens län,V,,,,,S,,,,
1994,Stockholms län,V,,,,,S,V,MP,,
1995,Stockholms län,V,,,,,S,V,MP,,
1996,Stockholms län,V,,,,,S,V,MP,,
1997,Stockholms län,V,,,,,S,V,MP,,
1994,Västerbottens län,V,,,,,S,,,,
1995,Västerbottens län,V,,,,,S,,,,
1996,Västerbottens län,V,,,,,S,,,,
1997,Västerbottens län,V,,,,,S,,,,
1994,Västra Götalands län,V,,,,,,,,,
1995,Västra Götalands län,V,,,,,,,,,
1996,Västra Götalands län,V,,,,,,,,,
1997,Västra Götalands län,V,,,,,,,,,
1994,Örebro län,V,,,,,S,,,,
1995,Örebro län,V,,,,,S,,,,
1996,Örebro län,V,,,,,S,,,,
1997,Örebro län,V,,,,,S,,,,
1998,Hallands län,B,M,C,L,KD,,,MP,,
