Län,Kommun,År,Value,Emission type
Alla,Alla,1990,71428872.2735296,Växthusgaser totalt
Blekinge län,Alla,1990,977891.793321004,Växthusgaser totalt
Blekinge län,Karlshamn,1990,254432.826718224,Växthusgaser totalt
Blekinge län,Karlskrona,1990,339240.89373305,Växthusgaser totalt
Blekinge län,Olofström,1990,83843.5289511732,Växthusgaser totalt
Blekinge län,Ronneby,1990,191758.19999792,Växthusgaser totalt
Blekinge län,Sölvesborg,1990,108616.303445983,Växthusgaser totalt
Dalarnas län,Alla,1990,2391295.78458377,Växthusgaser totalt
Dalarnas län,Avesta,1990,315573.369383345,Växthusgaser totalt
Dalarnas län,Borlänge,1990,539655.045147242,Växthusgaser totalt
Dalarnas län,Falun,1990,237161.476618844,Växthusgaser totalt
Dalarnas län,Gagnef,1990,55156.5883026936,Växthusgaser totalt
Dalarnas län,Hedemora,1990,120139.611730174,Växthusgaser totalt
Dalarnas län,Leksand,1990,93923.9637254833,Växthusgaser totalt
Dalarnas län,Ludvika,1990,198839.471917888,Växthusgaser totalt
Dalarnas län,Malung-Sälen,1990,81067.1961322139,Växthusgaser totalt
Dalarnas län,Mora,1990,123020.661800774,Växthusgaser totalt
Dalarnas län,Orsa,1990,37748.0987697829,Växthusgaser totalt
Dalarnas län,Rättvik,1990,198681.443838222,Växthusgaser totalt
Dalarnas län,Smedjebacken,1990,166842.305817796,Växthusgaser totalt
Dalarnas län,Säter,1990,81700.3757093594,Växthusgaser totalt
Dalarnas län,Vansbro,1990,63876.7508274313,Växthusgaser totalt
Dalarnas län,Älvdalen,1990,77909.4159938135,Växthusgaser totalt
Gotlands län,Alla,1990,2287546.76824988,Växthusgaser totalt
Gotlands län,Gotland,1990,2287546.76824988,Växthusgaser totalt
Gävleborgs län,Alla,1990,2187546.90912472,Växthusgaser totalt
Gävleborgs län,Bollnäs,1990,172541.672499137,Växthusgaser totalt
Gävleborgs län,Gävle,1990,602736.959988709,Växthusgaser totalt
Gävleborgs län,Hofors,1990,160610.557536753,Växthusgaser totalt
Gävleborgs län,Hudiksvall,1990,406929.633034798,Växthusgaser totalt
Gävleborgs län,Ljusdal,1990,168876.880312868,Växthusgaser totalt
Gävleborgs län,Nordanstig,1990,90839.4462103085,Växthusgaser totalt
Gävleborgs län,Ockelbo,1990,42627.9630836604,Växthusgaser totalt
Gävleborgs län,Ovanåker,1990,74088.7809257968,Växthusgaser totalt
Gävleborgs län,Sandviken,1990,258626.892104363,Växthusgaser totalt
Gävleborgs län,Söderhamn,1990,209668.096380856,Växthusgaser totalt
Hallands län,Alla,1990,2285642.74325101,Växthusgaser totalt
Hallands län,Falkenberg,1990,349836.664666302,Växthusgaser totalt
Hallands län,Halmstad,1990,727007.420379623,Växthusgaser totalt
Hallands län,Hylte,1990,230348.143354239,Växthusgaser totalt
Hallands län,Kungsbacka,1990,300687.546863682,Växthusgaser totalt
Hallands län,Laholm,1990,275434.783435236,Växthusgaser totalt
Hallands län,Varberg,1990,402328.278734696,Växthusgaser totalt
Jämtlands län,Alla,1990,1124020.5161518,Växthusgaser totalt
Jämtlands län,Berg,1990,97367.4500527001,Växthusgaser totalt
Jämtlands län,Bräcke,1990,75177.8513200776,Växthusgaser totalt
Jämtlands län,Härjedalen,1990,155807.328718997,Växthusgaser totalt
Jämtlands län,Krokom,1990,118297.819345636,Växthusgaser totalt
Jämtlands län,Ragunda,1990,63484.0419740901,Växthusgaser totalt
Jämtlands län,Strömsund,1990,147330.235872591,Växthusgaser totalt
Jämtlands län,Åre,1990,117717.8174092,Växthusgaser totalt
Jämtlands län,Östersund,1990,348838.057185735,Växthusgaser totalt
Jönköpings län,Alla,1990,2192446.99734563,Växthusgaser totalt
