Län,År,Population
Alla,1990,8590630
Alla,1991,8644119
Alla,1992,8692013
Alla,1993,8745109
Alla,1994,8816381
Alla,1995,8837496
Alla,1996,8844499
Alla,1997,8847625
Alla,1998,8854322
Alla,1999,8861426
Alla,2000,8882792
Alla,2001,8909128
Alla,2002,8940788
Alla,2003,8975670
Alla,2004,9011392
Alla,2005,9047752
Alla,2006,9113257
Alla,2007,9182927
Alla,2008,9256347
Alla,2009,9340682
Alla,2010,9415570
Alla,2011,9482855
Alla,2012,9555893
Alla,2013,9644864
Alla,2014,9747355
Alla,2015,9851017
Alla,2016,9995153
Alla,2017,10120242
Alla,2018,10230185
Alla,2019,10327589
Alla,2020,10379295
Alla,2021,10452326
Alla,2022,10521556
Alla,2023,10551707
