Län,År,Population
Stockholms län,1990,1641669
Uppsala län,1990,268835
Södermanlands län,1990,255636
Östergötlands län,1990,403011
Jönköpings län,1990,325163
Kronobergs län,1990,177882
Kalmar län,1990,241102
Gotlands län,1990,57108
Blekinge län,1990,150564
Skåne län,1990,1068587
Hallands län,1990,254725
Västra Götalands län,1990,1441293
Värmlands län,1990,283110
Örebro län,1990,272513
Västmanlands län,1990,258487
Dalarnas län,1990,289067
Gävleborgs län,1990,289294
Västernorrlands län,1990,261155
Jämtlands län,1990,135726
Västerbottens län,1990,251968
Norrbottens län,1990,263735
Stockholms län,1991,1654511
Uppsala län,1991,273918
Södermanlands län,1991,256818
Östergötlands län,1991,406100
Jönköpings län,1991,326653
Kronobergs län,1991,178612
Kalmar län,1991,241883
Gotlands län,1991,57383
Blekinge län,1991,151168
Skåne län,1991,1078225
Hallands län,1991,257874
Västra Götalands län,1991,1448056
Värmlands län,1991,284187
Örebro län,1991,273608
Västmanlands län,1991,259438
Dalarnas län,1991,290388
Gävleborgs län,1991,289339
Västernorrlands län,1991,261280
Jämtlands län,1991,136009
Västerbottens län,1991,253835
Norrbottens län,1991,264834
Stockholms län,1992,1669840
Uppsala län,1992,278610
Södermanlands län,1992,257858
Östergötlands län,1992,408268
Jönköpings län,1992,326852
Kronobergs län,1992,178961
Kalmar län,1992,241912
Gotlands län,1992,57578
Blekinge län,1992,151266
Skåne län,1992,1086689
Hallands län,1992,261172
Västra Götalands län,1992,1455645
Värmlands län,1992,284691
Örebro län,1992,274325
Västmanlands län,1992,260096
Dalarnas län,1992,290245
Gävleborgs län,1992,289190
Västernorrlands län,1992,260829
Jämtlands län,1992,135910
Västerbottens län,1992,255987
Norrbottens län,1992,266089
Stockholms län,1993,1686230
Uppsala län,1993,283006
Södermanlands län,1993,259199
Östergötlands län,1993,411212
Jönköpings län,1993,327920
Kronobergs län,1993,179649
Kalmar län,1993,242528
Gotlands län,1993,57751
Blekinge län,1993,151853
Skåne län,1993,1093367
Hallands län,1993,264607
Västra Götalands län,1993,1464073
Värmlands län,1993,285220
Örebro län,1993,275532
Västmanlands län,1993,260932
Dalarnas län,1993,290515
Gävleborgs län,1993,289612
Västernorrlands län,1993,260567
Jämtlands län,1993,136073
Västerbottens län,1993,258171
Norrbottens län,1993,267092
Stockholms län,1994,1708502
Uppsala län,1994,286642
Södermanlands län,1994,259793
Östergötlands län,1994,415603
Jönköpings län,1994,329406
Kronobergs län,1994,180747
Kalmar län,1994,244057
Gotlands län,1994,58237
Blekinge län,1994,153016
Skåne län,1994,1105986
Hallands län,1994,268067
Västra Götalands län,1994,1477370
Värmlands län,1994,285498
Örebro län,1994,276828
Västmanlands län,1994,261753
Dalarnas län,1994,291203
Gävleborgs län,1994,289654
Västernorrlands län,1994,260295
Jämtlands län,1994,136301
Västerbottens län,1994,259775
Norrbottens län,1994,267648
Stockholms län,1995,1725756
Uppsala län,1995,288475
Södermanlands län,1995,258700
Östergötlands län,1995,416443
Jönköpings län,1995,329595
Kronobergs län,1995,180377
Kalmar län,1995,243372
Gotlands län,1995,58120
Blekinge län,1995,152737
Skåne län,1995,1111731
Hallands län,1995,269338
Västra Götalands län,1995,1482501
Värmlands län,1995,284011
Örebro län,1995,276417
